symbol,as_of_date,accn,form,concept,value,start,end,frame
AAPL,2015-01-28,0001193125-15-023732,8-K,net_inc,41733000000.0,2012-01-01,2012-09-29,CY2012
AAPL,2015-01-28,0001193125-15-023732,8-K,net_inc,43189000000.0,2012-04-01,2012-12-29,CY2012Q4
AAPL,2015-01-28,0001193125-15-023732,8-K,net_inc,43912000000.0,2012-07-01,2013-03-30,CY2013Q1
AAPL,2015-01-28,0001193125-15-023732,8-K,net_inc,42589000000.0,2012-09-30,2013-06-29,CY2013Q2
AAPL,2015-01-28,0001193125-15-023732,8-K,net_inc,37037000000.0,2012-09-30,2013-09-28,CY2013Q3
AAPL,2015-10-28,0001193125-15-356351,10-K,net_inc,37037000000.0,2012-12-30,2013-09-28,CY2013
AAPL,2015-10-28,0001193125-15-356351,10-K,net_inc,40562000000.0,2013-03-31,2013-12-28,CY2013Q4
AAPL,2015-10-28,0001193125-15-356351,10-K,net_inc,43885000000.0,2013-06-30,2014-03-29,CY2014Q1
AAPL,2015-10-28,0001193125-15-356351,10-K,net_inc,44121000000.0,2013-09-29,2014-06-28,CY2014Q2
AAPL,2015-10-28,0001193125-15-356351,10-K,net_inc,39510000000.0,2013-09-29,2014-09-27,CY2014Q3
AAPL,2016-10-26,0001628280-16-020309,10-K,net_inc,39510000000.0,2013-12-29,2014-09-27,CY2014
AAPL,2016-10-26,0001628280-16-020309,10-K,net_inc,47311000000.0,2014-03-30,2014-12-27,CY2014Q4
AAPL,2016-10-26,0001628280-16-020309,10-K,net_inc,53132000000.0,2014-06-29,2015-03-28,CY2015Q1
AAPL,2016-10-26,0001628280-16-020309,10-K,net_inc,55342000000.0,2014-09-28,2015-06-27,CY2015Q2
AAPL,2016-10-26,0001628280-16-020309,10-K,net_inc,53394000000.0,2014-09-28,2015-09-26,CY2015Q3
AAPL,2017-11-03,0000320193-17-000070,10-K,net_inc,53394000000.0,2014-12-28,2015-09-26,CY2015
AAPL,2017-11-03,0000320193-17-000070,10-K,net_inc,58186000000.0,2015-03-29,2015-12-26,CY2015Q4
AAPL,2017-11-03,0000320193-17-000070,10-K,net_inc,58025000000.0,2015-06-28,2016-03-26,CY2016Q1
AAPL,2017-11-03,0000320193-17-000070,10-K,net_inc,54697000000.0,2015-09-27,2016-06-25,CY2016Q2
AAPL,2017-11-03,0000320193-17-000070,10-K,net_inc,45687000000.0,2015-09-27,2016-09-24,CY2016Q3
AAPL,2018-11-05,0000320193-18-000145,10-K,net_inc,45687000000.0,2015-12-27,2016-09-24,CY2016
AAPL,2018-11-05,0000320193-18-000145,10-K,net_inc,53062000000.0,2016-03-27,2016-12-31,CY2016Q4
AAPL,2018-11-05,0000320193-18-000145,10-K,net_inc,56295000000.0,2016-06-26,2017-04-01,CY2017Q1
AAPL,2018-11-05,0000320193-18-000145,10-K,net_inc,55998000000.0,2016-09-25,2017-07-01,CY2017Q2
AAPL,2018-11-05,0000320193-18-000145,10-K,net_inc,48351000000.0,2016-09-25,2017-09-30,CY2017Q3
